,origin,destination
0,205614030,2871546
1,23661362,2878623
2,16553797,2875502
3,123529549,123625563
4,18980811,52926482
5,210889016,118865242
6,18980811,204801183
7,123624419,117904356
8,94554780,35548643
9,2872613,6585787
10,77490871,11922467
11,2870829,14588775
12,4473256,2871678
13,214941886,123625503
14,5795654,84886782
15,123621513,17477878
16,2871295,55230130
17,37129061,2878623
18,15022204,2871678
19,2871295,85528272
20,17843260,94552965
21,84880210,6722218
22,118865639,9587918
23,123625503,27248561
24,30022384,2871295
25,18989187,3631674
26,12063664,18981201
27,53714133,2871678
28,4895988,2871678
29,215699327,118869865
30,18981358,25574757
31,16435811,2877363
32,2871678,3553731
33,53972202,94551461
34,126097949,118865242
35,3037543,2871844
36,2876496,210933049
37,94551461,198685166
38,2871295,14419543
39,118503704,199669503
40,2878772,3661382
41,2871678,3304466
42,467543,84884060
43,18981201,14708068
44,2871295,205694373
45,322482,2878772
46,5796901,2874910
47,32220278,2871295
48,2874113,21115638
49,53309479,84885702
50,9403425,2871678
51,164943220,215292765
52,10056609,18981358
53,84880210,31442852
54,55322708,118869512
55,2877363,18457994
56,202820755,2878623
57,2871295,59944394
58,37759965,94551461
59,120003926,118865242
60,84880210,22076553
61,159285930,147017809
62,20221208,18981201
63,2877021,215642799
64,14174930,116985749
65,2871295,31889470
66,2871678,3409340
67,51972522,18981201
68,18989187,215580693
69,18981111,9570645
70,84885702,53574635
71,35181293,118865242
72,2879270,53113626
73,15763852,2871896
74,8705297,2871295
75,42923522,94554780
76,123624419,54546997
77,2877363,1329989
78,2875502,44028353
79,84885702,67814407
80,2871295,56448533
81,2871678,3668309
82,6788989,84880210
83,94550656,40740571
84,182848828,84884278
85,13087299,123624419
86,16144796,2871678
87,11214703,123620011
88,94551461,54440291
89,2878623,28556754
90,80130462,2878623
91,199666823,20203147
92,21693033,2878772
93,17548751,18989713
94,2871678,53098342
95,2877021,13082294
96,18983082,18871664
97,44972398,84886782
98,2878623,38453797
99,12288919,116984741
100,8767090,118861402
101,214704177,199667935
102,195858872,118865242
103,39771544,2878623
104,2879270,53578947
105,1219458,18980811
106,51784103,84880210
107,12853679,18988104
108,10269298,18988104
109,18981358,10056609
110,18988104,1928848
111,16462748,2876862
112,55958354,123621513
113,205708941,2879270
114,18989187,3655178
115,2878623,16974432
116,15260942,84885648
117,182935183,2879270
118,12287826,18980380
119,831622,123625503
120,27873328,2878623
121,2871678,203439752
122,18984455,11070626
123,5758770,118865242
124,23724958,2875567
125,2877363,82376743
126,9280598,18980463
127,84886187,52832913
128,12511895,2871443
129,2875502,4717969
130,2875502,201672040
131,18980811,11805679
132,2879848,7320604
133,204602933,199664249
134,2877363,5201494
135,8567476,2874205
136,18989187,21850992
137,90068978,84880210
138,55560777,84888981
139,118867428,55763494
140,94550656,210904309
141,103775028,199661310
142,23093264,2871678
143,2876274,212420534
144,19446306,2878623
145,35776374,18981111
146,2871678,9362531
147,2874360,12428704
148,10969742,2871678
149,2875502,24640836
150,110847598,118865242
151,123626539,119885622
152,2874910,5796901
153,118864086,85518091
154,21436679,118865242
155,12599843,2871678
156,123620562,129130272
157,123622426,36337453
158,7498953,84884060
159,15468494,18980811
160,18981358,21662543
161,202433614,84883378
162,2871678,215674283
163,123625503,125536206
164,2879270,30052017
165,2871295,49559267
166,2879848,15553952
167,2870252,7697059
168,2877521,26703233
169,123565909,123624419
170,119106056,199661310
171,84880210,58935046
172,2875502,14392245
173,2874205,125224639
174,199669503,118503704
175,210978132,18988104
176,65020037,2874048
177,18988104,10269298
178,18981201,23039808
179,2878772,17598885
180,32639345,2871896
181,94554780,100355134
182,15415665,18981201
183,2728164,2871295
184,118865242,174774053
185,2871896,211478277
186,14647016,2871896
187,17352131,2874205
188,29286264,2874205
189,12132580,2873489
190,62579725,118865242
191,18985384,4512174
192,18989187,60441276
193,2878017,45637674
194,84886782,32356360
195,1412794,2877363
196,2879848,11631053
197,18980463,1713899
198,2879848,4299755
199,84883968,195073575
200,27996571,2871896
201,2876274,214873634
202,2876274,828742
203,145815882,118865242
204,4627419,18980463
205,209164569,2871678
206,25409613,84886077
207,201610085,2870859
208,2877272,57475562
209,55934744,2871678
210,25903199,18988104
211,18988104,14539141
212,2871678,44055927
213,59142566,94552965
214,30155285,2878623
215,21662543,18981358
216,2878772,9096837
217,85528272,2871295
218,123625563,19878419
219,84880089,150374410
220,84884060,83868405
221,118865242,4537121
222,118616185,118864667
223,4529935,18989187
224,123624419,125939517
225,52967309,94551239
226,2875502,2430954
227,2878623,4490612
228,2874205,7656176
229,85938636,2877363
230,199434505,18985384
231,56242795,18988104
232,11667125,18980811
233,2610953,2870829
234,2878623,42492042
235,2872613,114107383
236,18980811,23394848
237,2878017,2796529
238,2493299,2874113
239,14541905,123625503
240,2874584,89295118
241,10487077,2871678
242,2870859,201610085
243,122429393,94550656
244,118865242,10544500
245,84881737,86780645
246,2875502,14569939
247,29720673,2876496
248,49325878,2877363
249,27515190,2878772
250,84886187,33056412
251,33017860,2877021
252,214877679,2879848
253,25678577,2871295
254,42708185,18982114
255,2874910,37063497
256,17508271,84885702
257,2871295,12808575
258,118869865,199382229
259,22360438,2871844
260,31579396,2878623
261,82620088,84880039
262,212642475,2871295
263,195073575,84883968
264,2878623,23661362
265,2871678,1205333
266,18981201,20288424
267,2875567,23724958
268,84880089,27582189
269,118869865,202712586
270,1325836,18988104
271,2879270,46820837
272,2878772,35954192
273,206811932,2878623
274,2874910,19013402
275,18981358,215226847
276,40395601,2871295
277,2878623,39771544
278,2871295,14136482
279,54793823,123624419
280,2877021,4727659
281,13842412,2870829
282,20350059,84884060
283,2871678,11989124
284,18980811,9397159
285,49559267,2871295
286,118865242,117131653
287,6997563,2877363
288,2871678,215209877
289,205565397,118869865
290,18981201,29537514
291,2871678,4885291
292,84887726,55174523
293,210127978,199664249
294,12966058,2870252
295,20077534,2870859
296,53554241,123624419
297,17613661,123623002
298,2878772,172129802
299,56617563,2878623
300,85062756,84885702
301,2874048,3413249
302,38854547,2874205
303,2878623,24054481
304,18566634,2878623
305,118869512,59053631
306,18988104,32648674
307,118002623,123624419
308,16981130,18988104
309,118869865,55735749
310,9618468,18986705
311,18989842,10444428
312,49643358,2871678
313,204700990,118867428
314,124460,18981201
315,199665542,9806812
316,2870542,80900661
317,21834691,2878623
318,2871678,8425154
319,18982341,159574617
320,123621596,121368816
321,2876496,21212588
322,199664249,55117108
323,10967481,123624419
324,2870454,16427432
325,19911224,18981111
326,118865242,17890671
327,17213567,84889268
328,199501685,2875502
329,2871678,36160947
330,2871678,14534600
331,55075594,84886010
332,2875502,16050694
333,14419543,2871295
334,18437032,18981201
335,94556835,137465607
336,7450471,2877363
337,1796422,118865242
338,2871678,27499890
339,84884060,207914776
340,129938065,123624419
341,154196992,147017809
342,2878772,3379289
343,199666740,69671026
344,2871678,27539904
345,15443173,2871678
346,202712586,118869865
347,118865242,54494691
348,18982341,2451688
349,2878623,13980054
350,15034683,118865242
351,18985384,53292349
352,118865242,92991281
353,2874018,150118258
354,3177771,2871678
355,118865242,11384657
356,18982504,14089842
357,2874910,3838547
358,2874677,197402050
359,2877021,21568668
360,118869865,201933921
361,118869865,67819460
362,94558998,100822033
363,118865242,41729458
364,2878623,6708368
365,11750540,2878623
366,2877363,2222163
367,123623002,17613661
368,195321857,118868461
369,84881740,103934130
370,122236926,123623002
371,213258773,2874048
372,84888128,1087189
373,16979878,18988104
374,2877021,18176150
375,2871295,7810377
376,1928848,18988104
377,7952531,2871295
378,2878623,6596394
379,11981045,2871678
380,46686108,2871678
381,133607805,118865242
382,2871678,59603850
383,84886782,607614
384,4091872,2871678
385,2876862,159647
386,2871678,6502758
387,2871295,2032102
388,52844743,2877021
389,8268244,2872613
390,9362531,2871678
391,58921370,2874205
392,29802713,123624419
393,215226847,18981358
394,9605563,2876496
395,2879270,205708941
396,2878623,8752484
397,2878772,45280800
398,199811257,18988104
399,18973129,2875502
400,2874113,12754226
401,18989187,24169610
402,2871678,4538336
403,2879848,44163905
404,2877363,25634959
405,211554653,84888593
406,3538728,2877363
407,2871678,12599843
408,2871678,12081005
409,85653086,84886187
410,2871546,19398268
411,18981201,54604516
412,92462586,2877363
413,4654345,18980463
414,2870859,29205025
415,189897931,18980380
416,84885648,15260942
417,2874205,68309617
418,142479152,2879848
419,215588380,2877021
420,2878772,210928463
421,84886782,11541541
422,18980811,17230585
423,215555825,2870454
424,2871678,11981045
425,2871678,26507639
426,2871678,9996554
427,16403823,2874048
428,2870859,34569336
429,2878623,225469
430,84888128,31566984
431,11631053,2879848
432,2871678,14590884
433,2871678,3007381
434,84885702,214967519
435,215582262,2871678
436,1082141,2871678
437,72665750,2876862
438,207498370,2872613
439,18988046,28564761
440,53810989,2878623
441,2878623,75671116
442,18223786,2871295
443,13649427,118865242
444,18980811,9277348
445,84884060,55284741
446,18980811,3596939
447,2871295,14697188
448,2879848,36278574
449,18417378,199665542
450,14426896,2874205
451,2871295,2880514
452,25081020,118865242
453,118869512,53059073
454,118627279,123624419
455,2875102,5068113
456,10481484,2874910
457,18916836,2875502
458,84880210,6788989
459,6920514,2871678
460,29205025,2870859
461,118869865,205565397
462,84889401,89616575
463,2871678,88810478
464,2871295,2685721
465,18980811,17329069
466,2870859,20077534
467,13716464,2875502
468,14376977,118869865
469,2871844,7584242
470,41090046,84880089
471,18981201,9568932
472,2877021,26574010
473,2871295,214821010
474,17046374,2871295
475,2874205,141158875
476,215282409,2870542
477,212420534,2876274
478,18981201,1215355
479,2878623,30155285
480,2870829,8368595
481,2871896,16921108
482,2877363,85938636
483,7572268,2871295
484,2878623,14113467
485,40549441,2871678
486,11969219,118865242
487,2871295,53260169
488,58910297,2872580
489,46395485,2879270
490,18980811,25969147
491,123625612,119440560
492,2871678,12200739
493,84886077,25409613
494,118865242,38461130
495,2871678,5809840
496,2875502,18973129
497,2871678,4105768
498,117809371,118869512
499,53053599,118865242
500,8162968,2871295
501,21932941,2871295
502,1957598,2871678
503,15153054,2877021
504,84886010,210975283
505,18982341,154027071
506,6362510,2874910
507,6846280,2878623
508,2871295,16398629
509,2876862,77760284
510,83999818,2871678
511,35713890,2871678
512,2870252,15484433
